name,minplayers,minplaytime,maxplaytime,minage,average,avgweight
Gloomhaven,1,60,120,12,8.85292,3.8078
Pandemic Legacy  Season 1,2,60,60,13,8.624989999999999,2.8301
Terraforming Mars,1,120,120,12,8.422989999999999,3.2313
Through the Ages  A New Story of Civilization,2,120,120,14,8.49419,4.385
Brass  Birmingham,2,60,120,14,8.62031,3.9122
Twilight Imperium (Fourth Edition),3,240,480,14,8.68965,4.1966
Twilight Struggle,2,120,180,13,8.31307,3.5724
Star Wars  Rebellion,2,180,240,14,8.42602,3.6939
Gaia Project,1,60,150,12,8.506860000000001,4.3131
Scythe,1,90,115,14,8.26056,3.381
Great Western Trail,2,75,150,12,8.28272,3.6929
War of the Ring (Second Edition),2,150,180,13,8.44938,4.0746
Spirit Island,1,90,120,13,8.32434,3.9388
Terra Mystica,2,60,150,12,8.17255,3.9518
The Castles of Burgundy,2,30,90,12,8.127410000000001,3.0014
7 Wonders Duel,2,30,30,10,8.10825,2.2202
The 7th Continent,1,5,1000,14,8.36074,2.8606
Concordia,2,100,100,13,8.11021,3.0568
Brass  Lancashire,2,60,120,14,8.14857,3.8637
Viticulture Essential Edition,1,45,90,13,8.1167,2.9369
Arkham Horror  The Card Game,1,60,120,14,8.192960000000001,3.3387
Puerto Rico,3,90,150,12,8.02082,3.285
A Feast for Odin,1,30,120,12,8.18223,3.8462
Mage Knight Board Game,1,60,240,14,8.10013,4.2849
Orl\u00e9ans,2,90,90,12,8.08174,3.0637
Caverna  The Cave Farmers,1,30,210,12,8.0456,3.7852
Wingspan,1,40,70,10,8.10343,2.3693
Food Chain Magnate,2,120,240,14,8.17751,4.1971
Agricola,1,30,150,12,7.97387,3.6372
Mansions of Madness  Second Edition,1,120,180,14,8.11713,2.6719
Blood Rage,2,60,90,14,8.0064,2.8692
Kingdom Death  Monster,1,60,180,17,8.73827,4.2169
Pandemic Legacy  Season 2,2,60,60,14,8.19898,3.268
Power Grid (Recharged Version),2,120,120,12,7.87953,3.2749
Mechs vs. Minions,2,60,90,14,8.0927,2.4130000000000003
Through the Ages  A Story of Civilization,2,120,120,12,7.97122,4.1702
Star Wars  Imperial Assault,2,60,120,14,8.04603,3.2979
Tzolk'in  The Mayan Calendar,2,90,90,13,7.91679,3.6552
Root,2,60,90,10,8.06087,3.5806
Eclipse,2,60,180,14,7.92324,3.6915
Azul,2,30,45,8,7.870789999999999,1.7875
Le Havre,1,30,150,12,7.8798,3.7497
Nemesis,1,90,180,12,8.49814,3.3077
